Name,CMP,PE,MarCap,DivYld,NPQtr,QtrProfitVar,SalesQtr,QtrSalesVar,ROCE,ROE5Yr,ROE3Yr,ROE7Yr
K E C Intl.,800.6,46.91,21311.97,0.5,129.56,33.75,5349.38,6.84,16.05,11.83,7.87,14.14
Kansai Nerolac,263.6,33.46,21311.81,0.95,102.43,-10.38,1816.65,2.67,13.99,11.09,11.34,11.69
Navin Fluo.Intl.,4242.1,72.91,21039.02,0.28,94.96,34.94,700.94,16.44,11.68,13.86,13.02,15.79
Castrol India,211.3,22.13,20900.16,4.02,233.46,7.96,1422.0,7.3,55.16,44.15,43.27,48.54
Sundram Fasten.,981.5,38.26,20624.1,0.73,124.49,-6.83,1530.59,4.37,17.12,16.5,16.06,17.52
Welspun Corp,781.9,13.91,20581.32,0.64,672.19,130.27,3613.51,-23.92,20.19,14.0,11.54,11.38
Aditya AMC,707.95,21.95,20423.98,1.91,228.08,9.45,428.84,17.31,35.5,28.96,26.68,30.55
Pfizer,4413.2,32.8,20189.39,0.79,127.6,2.81,537.99,-0.37,21.98,18.25,19.41,17.3
Hatsun Agro,898.6,70.12,20016.16,0.67,49.64,-4.81,2210.33,7.99,13.27,18.03,15.87,17.68
Five-Star Bus.Fi,679.2,18.65,19997.49,0.0,279.12,18.24,752.27,22.06,16.31,16.89,17.27,16.77
Atul,6787.0,41.29,19982.12,0.29,130.13,116.57,1451.64,19.76,12.72,11.34,8.9,13.05
ERIS Lifescience,1464.6,60.56,19945.66,0.5,86.93,-17.57,727.45,49.59,11.27,20.48,18.86,22.64
Ratnamani Metals,2838.4,36.74,19894.91,0.49,203.16,5.72,1715.15,14.67,21.57,17.95,19.26,18.06
Guj.St.Petronet,350.4,14.79,19769.97,1.43,335.43,-40.71,4360.47,-0.65,21.46,23.11,18.92,23.79
